algorithm,scale,i,rows,models,time
average_win_rate,6,5,10000000,129,5.5502123330006725
bradley_terry,6,5,10000000,129,5.623680609998701
elo,6,5,10000000,129,6.005477833999976
eigen,6,5,10000000,129,5.603588855999988
pagerank,6,5,10000000,129,5.761078469000495
newman,6,5,10000000,129,5.650248751999243
counting,6,6,10000000,129,5.571540818000358
average_win_rate,6,6,10000000,129,5.495064687000195
bradley_terry,6,6,10000000,129,5.517097117999583
elo,6,6,10000000,129,6.009124817999691
eigen,6,6,10000000,129,5.523844548999477
pagerank,6,6,10000000,129,5.611148018999302
newman,6,6,10000000,129,5.515429049999511
counting,6,7,10000000,129,5.448642265000672
average_win_rate,6,7,10000000,129,5.448376202000873
bradley_terry,6,7,10000000,129,5.544537397998283
elo,6,7,10000000,129,6.017319021000731
eigen,6,7,10000000,129,5.5518685650004045
pagerank,6,7,10000000,129,5.52255630000036
newman,6,7,10000000,129,5.605366936000792
counting,6,8,10000000,129,5.7295167009997385
average_win_rate,6,8,10000000,129,5.548453061001055
bradley_terry,6,8,10000000,129,5.531914189001327
elo,6,8,10000000,129,5.9395085369997105
eigen,6,8,10000000,129,5.5266967409988865
pagerank,6,8,10000000,129,5.570658406000803
newman,6,8,10000000,129,5.672336362000351
counting,6,9,10000000,129,5.492401758998312
average_win_rate,6,9,10000000,129,5.495557521999217
bradley_terry,6,9,10000000,129,5.47870610100108
elo,6,9,10000000,129,5.9217117030002555
eigen,6,9,10000000,129,5.511196595000001
pagerank,6,9,10000000,129,5.505412172000433
newman,6,9,10000000,129,5.620188545000929
